file,parameter,proposed_unit,status,note
03_Physical_properties.csv,Cp_air,kJ/(kg.K),confirmed,"Documented in compute_Rvent.R"
03_Physical_properties.csv,dens_air,kg/m3,confirmed,"Documented in compute_Rvent.R"
11_Model_parameters.csv,Ci,kWh/K,confirmed,"Indoor thermal capacitance (Bacher-type 2C model); consistent with the rest of the model (kW/kWh)"
11_Model_parameters.csv,Ce,kWh/K,confirmed,"Envelope thermal capacitance; same family as Ci"
11_Model_parameters.csv,Rie,K/kW,confirmed,"Indoor-envelope thermal resistance; consistent with Rvent (K/kW)"
11_Model_parameters.csv,Rea,K/kW,confirmed,"Envelope-outdoor thermal resistance; same family as Rie"
11_Model_parameters.csv,Aw,m2,confirmed,"Equivalent solar aperture of windows (effective area)"
11_Model_parameters.csv,Ae,m2,confirmed,"Equivalent solar aperture of the envelope"
11_Model_parameters.csv,Shading_0,-,confirmed,"Baseline shading coefficient - fraction (0-1) of window solar gain blocked (period_simulation_cpp.cpp: applied as 1-Shading_t)"
11_Model_parameters.csv,Shading_1,-,confirmed,"Full-shading coefficient - fraction (0-1) of window solar gain blocked above Setpoint_Shading1 (period_simulation_cpp.cpp: applied as 1-Shading_t)"
11_Model_parameters.csv,Setpoint_Shading1,degC,confirmed,"T_ext_24h threshold that activates shading (period_simulation_cpp.cpp)"
11_Model_parameters.csv,AT_hp_heat_1,degC,confirmed,"Heat pump threshold temperature delta (cpp comment: 'Heat pump temperature deltas')"
11_Model_parameters.csv,AT_hp_heat_2,degC,confirmed,"Heat pump threshold temperature delta"
11_Model_parameters.csv,Q_hp_heat_1,kW,confirmed,"Heating power (cpp: 'the rest of the calculations expect power (kW or equivalent)')"
11_Model_parameters.csv,Q_hp_heat_2,kW,confirmed,"Heating power (heat pump cycle + backup resistances)"
11_Model_parameters.csv,COP_hp_heat_1_coef1,-,confirmed,"Constant/intercept term of the COP regression (Mulero et al., eqs. 3.11-3.12), dimensionless"
11_Model_parameters.csv,COP_hp_heat_1_coef2,1/degC,confirmed,"Linear coefficient of the COP regression vs. Delta_temp"
11_Model_parameters.csv,COP_hp_heat_1_coef3,1/degC2,confirmed,"Quadratic coefficient of the COP regression vs. Delta_temp"
11_Model_parameters.csv,Tsup_hp_heat,degC,confirmed,"Heat pump supply temperature (cpp comment)"
11_Model_parameters.csv,Q_hp_cool,kW,confirmed,"Fixed cooling power"
11_Model_parameters.csv,COP_hp_cool,-,confirmed,"Fixed cooling COP (dimensionless)"
11_Model_parameters.csv,RENvent01,h-1,confirmed,"Infiltration rate (ACH) - compute_Rvent.R"
11_Model_parameters.csv,RENvent1,h-1,confirmed,"Night ventilation rate (ACH) - compute_Rvent.R"
11_Model_parameters.csv,RENvent2,h-1,confirmed,"Day ventilation rate (ACH) - compute_Rvent.R"
11_Model_parameters.csv,Setpoint_Rvent1,degC,confirmed,"T_ext_24h threshold that activates RENvent1 instead of RENvent01 (period_simulation_cpp.cpp)"
11_Model_parameters.csv,Volume,m3,confirmed,"validate_model_parameters.R / compute_Rvent.R"
11_Model_parameters.csv,Efi_Vent_Rec,-,confirmed,"Heat recovery efficiency, 0-1 fraction (validate_model_parameters.R)"
11_Model_parameters.csv,Ti_0,degC,confirmed,"Initial indoor temperature"
11_Model_parameters.csv,Te_0,degC,confirmed,"Initial envelope temperature"
11_Model_parameters.csv,Qh_0,kW,confirmed,"Initial heating power"
11_Model_parameters.csv,Qc_0,kW,confirmed,"Initial cooling power"
11_Model_parameters.csv,inertial_fact,-,confirmed,"Thermal inertia factor, 0-1 fraction (validate_model_parameters.R)"
12_Control_parameters.csv,set_point_range_heating_low,degC,confirmed,""
12_Control_parameters.csv,set_point_range_heating_high,degC,confirmed,""
12_Control_parameters.csv,set_point_range_cooling_low,degC,confirmed,""
12_Control_parameters.csv,set_point_range_cooling_high,degC,confirmed,""
12_Control_parameters.csv,Deadband,degC,confirmed,"Thermostat deadband width, same units as the setpoints (run_market_process.R: set_point_default +/- Deadband/2)"
